places,Church,Bar,Gym,Car Dealership,Frat House,Mall,Whole Foods,Theater,Restaurant,Country Club,Campus,Hospital,Lake,Prison,Highway
Church,0,-1,-1,7,-1,-1,-1,-1,2,5,-1,-1,-1,-1,-1
Bar,-1,0,-1,-1,3,10,-1,-1,-1,-1,6,-1,-1,-1,-1
Gym,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Car Dealership,7,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,5
Frat House,-1,3,1,-1,0,11,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mall,-1,10,-1,-1,11,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Whole Foods,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,8,1,-1,-1
Theater,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,-1,-1,-1,-1
Restaurant,2,-1,-1,-1,-1,-1,-1,4,0,5,-1,-1,-1,-1,-1
Country Club,5,-1,-1,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,-1
Campus,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Hospital,-1,-1,-1,3,-1,-1,8,-1,-1,-1,-1,0,9,7,2
Lake,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,9,0,-1,-1
Prison,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,0,4
Highway,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,2,-1,4,0
